Region,Country/Territory,DeathsAttributable,DiabetesRelatedExpPP,Year
Middle East and North Africa,Afghanistan,"31,743",143.1,2021
Europe,Albania,"4,248",676.1,2021
Middle East and North Africa,Algeria,"21,749",862.8,2021
Western Pacific,American Samoa,-,-,2021
Europe,Andorra,-,"3,063.90",2021
Africa,Angola,"11,173",519.8,2021
North America and Caribbean,Anguilla,-,-,2021
North America and Caribbean,Antigua and Barbuda,147,"1,015.80",2021
South and Central America,Argentina,"26,944","1,420.40",2021
Europe,Armenia,"2,392","1,174.30",2021
North America and Caribbean,Aruba,-,-,2021
Western Pacific,Australia,"23,226","5,944.00",2021
Europe,Austria,"12,021","6,574.70",2021
Europe,Azerbaijan,"7,577",482.4,2021
North America and Caribbean,Bahamas,470,"2,496.60",2021
Middle East and North Africa,Bahrain,536,"1,324.90",2021
South-East Asia,Bangladesh,"75,617",76.5,2021
North America and Caribbean,Barbados,"1,008","1,106.40",2021
Europe,Belarus,"11,242","1,023.50",2021
Europe,Belgium,"10,714","6,433.20",2021
North America and Caribbean,Belize,441,830.5,2021
Africa,Benin,927,181.6,2021
North America and Caribbean,Bermuda,-,-,2021
South-East Asia,Bhutan,379,194.7,2021
South and Central America,Bolivia (Plurinational State of),"7,517",898.8,2021
Europe,Bosnia and Herzegovina,"5,113","1,125.20",2021
Africa,Botswana,"2,044","2,155.30",2021
South and Central America,Brazil,"214,175","2,728.50",2021
North America and Caribbean,British Virgin Islands,-,-,2021
Western Pacific,Brunei Darussalam,532,901.3,2021
Europe,Bulgaria,"10,521","1,892.40",2021
Africa,Burkina Faso,"2,813",192.3,2021
Africa,Burundi,"3,925",102.5,2021
Africa,Cabo Verde,70,912.1,2021
Western Pacific,Cambodia,"8,772",261.5,2021
Africa,Cameroon,"12,614",286.2,2021
North America and Caribbean,Canada,"53,046","4,802.90",2021
North America and Caribbean,Cayman Islands,-,-,2021
Africa,Central African Republic,"3,655",267.7,2021
Africa,Chad,"5,247",133.6,2021
Europe,Channel Islands,-,-,2021
South and Central America,Chile,"18,591","1,583.90",2021
Western Pacific,China,"1,396,662","1,173.50",2021
Western Pacific,"China, Hong Kong SAR",-,-,2021
Western Pacific,"China, Macao SAR",-,-,2021
South and Central America,Colombia,"35,562","1,772.80",2021
Africa,Comoros,440,205.6,2021
Africa,Congo,"3,104",251.4,2021
Western Pacific,Cook Islands,-,-,2021
South and Central America,Costa Rica,"3,663","2,890.00",2021
Europe,Croatia,"6,218","1,197.50",2021
South and Central America,Cuba,"10,714","3,117.40",2021
North America and Caribbean,Curaçao,-,-,2021
Europe,Cyprus,"1,101","2,570.80",2021
Europe,Czechia,"1,146","2,177.50",2021
Africa,Côte d'Ivoire,"3,991",386.6,2021
Western Pacific,Democratic People's Republic of Korea,"27,653",-,2021
Africa,Democratic Republic of the Congo,"34,151",93.9,2021
Europe,Denmark,"7,010","7,844.40",2021
Africa,Djibouti,883,288.2,2021
North America and Caribbean,Dominica,-,"1,334.30",2021
South and Central America,Dominican Republic,"12,777","1,490.10",2021
South and Central America,Ecuador,"3,970","2,280.50",2021
Middle East and North Africa,Egypt,"122,684",-,2021
South and Central America,El Salvador,"3,692","1,061.80",2021
Africa,Equatorial Guinea,824,-,2021
Africa,Eritrea,"2,129",110.6,2021
Europe,Estonia,174,"1,826.60",2021
Africa,Eswatini,846,"1,136.20",2021
Africa,Ethiopia,"26,448",104.3,2021
Europe,Faroe Islands,-,-,2021
Western Pacific,Fiji,"1,587",524.6,2021
Europe,Finland,"9,338","5,514.60",2021
Europe,France,"87,434","5,760.10",2021
South and Central America,French Guiana,-,-,2021
Western Pacific,French Polynesia,-,-,2021
Africa,Gabon,"1,215","1,137.80",2021
Africa,Gambia,325,132.7,2021
Europe,Georgia,"4,271",877.1,2021
Europe,Germany,"151,463","6,660.70",2021
Africa,Ghana,"6,255",279.4,2021
Europe,Greece,"22,350","1,747.10",2021
Europe,Greenland,-,-,2021
North America and Caribbean,Grenada,265,"1,058.00",2021
North America and Caribbean,Guadeloupe,-,-,2021
Western Pacific,Guam,-,-,2021
South and Central America,Guatemala,"13,850",888.5,2021
Africa,Guinea,"2,176",184.6,2021
Africa,Guinea-Bissau,411,270.9,2021
North America and Caribbean,Guyana,"1,672",693,2021
North America and Caribbean,Haiti,"11,811",244.5,2021
Europe,Holy See,-,-,2021
South and Central America,Honduras,"3,796",749.1,2021
Europe,Hungary,"10,701","1,465.90",2021
Europe,Iceland,394,"8,400.70",2021
South-East Asia,India,"647,831",114.4,2021
Western Pacific,Indonesia,"236,711",323.8,2021
Middle East and North Africa,Iran (Islamic Republic of),"47,932","1,354.80",2021
Middle East and North Africa,Iraq,"21,752",850.4,2021
Europe,Ireland,"2,958","7,843.30",2021
Europe,Isle of Man,-,-,2021
Europe,Israel,"13,230","4,807.40",2021
Europe,Italy,"172,943","3,280.80",2021
North America and Caribbean,Jamaica,"4,303",884.9,2021
Western Pacific,Japan,"245,010","3,239.30",2021
Middle East and North Africa,Jordan,"5,705",980.7,2021
Europe,Kazakhstan,"11,806",764.2,2021
Africa,Kenya,"15,285",448.6,2021
Western Pacific,Kiribati,336,493.8,2021
Middle East and North Africa,Kuwait,"2,153","1,823.60",2021
Europe,Kyrgyzstan,"2,966",231,2021
Western Pacific,Lao People's Democratic Republic,"3,136",202.9,2021
Europe,Latvia,"2,229","1,335.00",2021
Middle East and North Africa,Lebanon,"5,492","1,930.80",2021
Africa,Lesotho,"2,761",474.9,2021
Africa,Liberia,802,231.2,2021
Middle East and North Africa,Libya,"3,782",-,2021
Europe,Liechtenstein,-,-,2021
Europe,Lithuania,"5,870","1,342.50",2021
Europe,Luxembourg,788,"8,192.50",2021
Africa,Madagascar,"9,718",98.5,2021
Africa,Malawi,"7,917",150.7,2021
Western Pacific,Malaysia,"41,238","1,090.70",2021
South-East Asia,Maldives,115,"1,867.40",2021
Africa,Mali,"2,616",189.6,2021
Europe,Malta,735,"2,837.60",2021
Western Pacific,Marshall Islands,-,"1,493.90",2021
North America and Caribbean,Martinique,-,-,2021
Africa,Mauritania,514,284.5,2021
South-East Asia,Mauritius,"2,320",588.4,2021
Africa,Mayotte,-,-,2021
North America and Caribbean,Mexico,"184,384","1,412.30",2021
Western Pacific,Micronesia (Federated States of),193,"1,000.70",2021
Europe,Monaco,-,"3,416.90",2021
Western Pacific,Mongolia,"2,597",584,2021
Europe,Montenegro,"1,014",-,2021
Middle East and North Africa,Morocco,"31,435",473.7,2021
Africa,Mozambique,"11,832",226.7,2021
Western Pacific,Myanmar,"34,506",168.1,2021
Africa,Namibia,"1,674","2,120.90",2021
Western Pacific,Nauru,-,"1,051.50",2021
South-East Asia,Nepal,"9,022",102.2,2021
Europe,Netherlands,"21,213","6,444.90",2021
North America and Caribbean,Netherlands Antilles,-,-,2021
Western Pacific,New Caledonia,-,-,2021
Western Pacific,New Zealand,"4,719","3,967.50",2021
South and Central America,Nicaragua,"3,654",576.5,2021
Africa,Niger,"5,302",142,2021
Africa,Nigeria,"48,375",499.7,2021
Western Pacific,Niue,-,-,2021
Western Pacific,Northern Mariana Islands,-,-,2021
Europe,North Macedonia,"2,590",980.5,2021
Europe,Norway,"2,788","11,166.40",2021
Middle East and North Africa,Oman,"2,100",845.2,2021
Middle East and North Africa,Pakistan,"396,625",80.1,2021
Western Pacific,Palau,-,"2,012.50",2021
South and Central America,Panama,"2,119","1,460.50",2021
Western Pacific,Papua New Guinea,"10,717",167.9,2021
South and Central America,Paraguay,"3,467","1,331.30",2021
South and Central America,Peru,"8,667","1,331.50",2021
Western Pacific,Philippines,"66,461",450.8,2021
Europe,Poland,"5,330",994.3,2021
Europe,Portugal,"22,858","2,293.30",2021
South and Central America,Puerto Rico,-,-,2021
Middle East and North Africa,Qatar,898,"2,017.20",2021
Africa,Réunion,-,-,2021
Western Pacific,Republic of Korea,"47,522","2,554.60",2021
Europe,Republic of Moldova,"4,025",491.7,2021
Europe,Romania,"24,213",930.2,2021
Europe,Russian Federation,"20,723","1,739.80",2021
Africa,Rwanda,"4,075",230.7,2021
North America and Caribbean,Saint Kitts and Nevis,-,"1,055.70",2021
North America and Caribbean,Saint Lucia,317,905,2021
North America and Caribbean,Saint Vincent and the Grenadines,131,902.9,2021
Western Pacific,Samoa,135,558.1,2021
Europe,San Marino,-,"3,852.20",2021
Africa,Sao Tome and Principe,73,664.4,2021
Middle East and North Africa,Saudi Arabia,"32,054","1,745.30",2021
Africa,Senegal,"3,028",299.7,2021
Europe,Serbia,"15,908","1,424.40",2021
Africa,Seychelles,91,940.7,2021
Africa,Sierra Leone,"1,353",422.2,2021
Western Pacific,Singapore,"8,301","2,486.10",2021
Europe,Slovakia,628,"1,554.20",2021
Europe,Slovenia,"3,291","2,496.10",2021
Western Pacific,Solomon Islands,"1,042",245.2,2021
Africa,Somalia,"8,834",-,2021
Africa,South Africa,"95,676","1,700.70",2021
Africa,South Sudan,"4,021",-,2021
Europe,Spain,"81,717","3,005.80",2021
South-East Asia,Sri Lanka,"12,084",201.6,2021
Middle East and North Africa,State of Palestine,-,-,2021
Middle East and North Africa,Sudan,"35,897",153.4,2021
North America and Caribbean,Suriname,948,"1,277.90",2021
Europe,Sweden,"11,623","7,674.70",2021
Europe,Switzerland,"7,644","12,828.40",2021
Middle East and North Africa,Syrian Arab Republic,"14,060",-,2021
Western Pacific,Taiwan,-,-,2021
Europe,Tajikistan,"4,578",169.3,2021
Western Pacific,Thailand,"62,361",655,2021
Western Pacific,Timor-Leste,636,320.9,2021
Africa,Togo,"1,338",205.3,2021
Western Pacific,Tokelau,-,-,2021
Western Pacific,Tonga,88,563.8,2021
North America and Caribbean,Trinidad and Tobago,"2,365","1,209.70",2021
Middle East and North Africa,Tunisia,"6,868",616.5,2021
Europe,Turkey,"83,221","1,044.90",2021
Europe,Turkmenistan,"3,313","1,681.10",2021
Western Pacific,Tuvalu,-,"1,650.40",2021
Africa,Uganda,"10,416",227.4,2021
Europe,Ukraine,"58,126",625.4,2021
Middle East and North Africa,United Arab Emirates,"4,343","2,109.50",2021
Europe,United Kingdom,"140,775","5,859.30",2021
Africa,United Republic of Tanzania,"36,334",149.8,2021
North America and Caribbean,United States of America,"669,384","11,779.20",2021
South and Central America,Uruguay,"6,770","1,686.30",2021
North America and Caribbean,US Virgin Islands,-,-,2021
Europe,Uzbekistan,"16,670",205.3,2021
Western Pacific,Vanuatu,371,297.2,2021
South and Central America,Venezuela (Bolivarian Republic of),"30,280",0,2021
Western Pacific,Viet Nam,"57,220",418.1,2021
Middle East and North Africa,Yemen,"8,561",-,2021
Africa,Zambia,"15,519",334.4,2021
Africa,Zimbabwe,"2,942",794.4,2021
